,title,bid-amount,short-description
131,"Expert Nodejs, Websocket and Javascript developer","$14 / hr
                                (Avg Bid)","We are developing an opensource low code framework using data-attributes to provide html5 devs a way to build collaborative realtime web apps. We create vanilla js components that have api control through data-attributes. While maintaining a developer api for js devs which include functions, callbacks, events and an initializer. We have a headless CMS"
132,Looking for seasoned Web Developer and Designer,"$328
                                (Avg Bid)","We are looking for seasoned Web Developers, Designers, Front-end Developer to work on various projects.  Can be a potential long-term collaboration for ongoing websites work.

Please apply only independent freelancers, NO AGENCIES PLEASE!"
133,Develop web app for IOS,"$275
                                (Avg Bid)","Hi,
I will develop the website and I will compile that for the Android web app, I dont have a mac and I need so that some one will do it for me.

Thank you"
134,Web Admin Application in Angular 10 above with APIS Integration,"$338
                                (Avg Bid)",It’s very simple admin panel project and we have beautifully design it’s prototype so very easy to understand the concept with less discussion . And almost no changes in between. Looking for best experience agency  / freelancer who have good experienced / commitment and can finish project on given time. Prototype will be share after discussion over chat after some sample review / previ...
135,Develop Custom API Connect to remote DataBase,"$21 / hr
                                (Avg Bid)","...directly and whitelisted in cpanel to allow connection and it only works with 1 client.

It seeks to develop an API that connects to the remote database of clients through the web server and PHP without opening ports or allowing direct access to the server from external sources or using whitelist in the case of Cpanel, which allows multiple clients connect"
136,Excel to web aspx data entry,"$635
                                (Avg Bid)","I have an excel program to calculate inventory orders which works well
Our company has moved to web based browser using MS Edge ordering system 
I need to automate data entry from the excel sheet to web system using vba and selenium"
137,Develop a form builder web app in react js,"$488
                                (Avg Bid)","I need a developer to create a web app in react js, where the user will be able to create questionnaires with different types of fields, for example, questions, photos, comments, etc. The maximum budget is 500 USD for this task."
138,Scrape dating website for contact info of my selected ladies profiles with straight forward info,"$17
                                (Avg Bid)","I have just over a dozen profiles of ladies who are interested in getting my contact info. Unfor...contact info of these ladies.
Just their mobile,email and companies where they work.
Being a middle aged man I can afford to pay 10 to $25  as a fixed amount for your genuine scraping services.
Get one and you'll get them all as it's one site.
[login to view URL]"
139,Build a web site,"$181
                                (Avg Bid)","Hi , I am looking for a website builder who can create for my business 
This website is about online rental agreement 
1) user login page (otp) verification 
User type a) broker b ) landlord c) tenant 
2) owner details 
3) tenant details 
4) house details eg address , rent amount deposit 
5 ) preview 
6) payment 
7) digital signature  
8) sending the documents to the communication mail/ phone numb..."
140,Built web script to convert specific PDF files to excel table spreadsheet editable format,"$21 / hr
                                (Avg Bid)","Hi,
I am looking for someone with experience to build me a Web script that converts 3 different pdf file arrangements to a proper organised by rules we will discuss together. Conversion will be to spreadsheet editable format.
C sharp / Dot net technologies only.

I will ignore auto bids and bids without a minimum of technical proposal."
141,data scraping,"$122
                                (Avg Bid)","Hi, I want whole procurement website database"
142,Web development,"$374
                                (Avg Bid)",I need a web developer to build same as [login to view URL]
143,[All offers accepted] - Convert the [EasyPlex Android App] into a fully Native Vue Web App,"$117
                                (Avg Bid)","I want this Android App converted to an Native Web Vue.js project with full networking completed too.

I do have access to the Android source code and the Vue.js Admin Dashboard

I want the same identical features, but instead web compatible instead of fixed Android APK.

APK Demo can be found here: [login to view URL]"
144,Web application developer in Django,"$74
                                (Avg Bid)",I'm Looking for someone to develop a web application for me in python django in order for me to plot certain real time plots and dashboards. A structured database would also be required to be created which will stream the data from my script and from which the web app can take the data and do the plotting.
145,Web application for desktop software,"$133
                                (Avg Bid)","Hello friends, Im looking for a freelancer, who develop application for me experienced in web design, PHP, programming, block chain, python, Photoshop, engineering etc 
For  btc in target wallet address options and QR code  both available in software</div><div>2) Software capable to send 1-100  btc at a time and show in balance.<br></div><div>3) BTC"
146,web design -- 2,"$14 / hr
                                (Avg Bid)",I need a new website. I need you to design and build my personal website.
147,designing for private charters rental tourism web,"$24
                                (Avg Bid)",I need a new website. I need you to design a website for my small business.
148,Build An Android TRading Application with Web Admin Login,"$2409
                                (Avg Bid)","I need an Android Trading Application with the following requirements:

1. User Login
2. Confirmation email to verify user account
3. Request token, whenever a user login
4. Deposit page
5. withdrawal funds page
6. balance page (editable by admin)
7. Invest Page (with a following chart)
8. Same chart can also be applicable on the home page
9. Account Balance page, should be editable by the Admin"
149,Re-design web health platform,"$209
                                (Avg Bid)","We need a new design for our webplatform. (Check the images attaches, will be the layouts to modify)"
150,"Website for booking service, web development using python and Java script, iOS and Android Apps -- 3","$741
                                (Avg Bid)","Looking for a developer in Python (py), SQL and JavaScript (js).
One must have availability to work extra hours and weekends.
I need a web and mobile developer. Must be experience in this field. Ability to work during Australian TimeZone. 
This website is for chauffeur and limousine [login to view URL] will have online booking and payment platform.
Must"
151,telegram messages managed by web dashboard,"$2974
                                (Avg Bid)","PURPOSE
• I would like to send text messages with a web dashboard that may contain photos, videos, links, etc., to be delivered to mobile phones via Telegram Bot (or equivalent) and also to be published on a web page of an existing site.
• messages and contents must be kept in order to be re-edited and sent if necessary
• messages can be sent instantly"
152,Web Administrator,"$4 / hr
                                (Avg Bid)","Hi,

I am looking for Web Administrator working for part time (weekly 10-20 hrs.) to manage, enhance, integrate existing  web modules, configure it for positive SEO & SMO result. 

There is a need to work with WordPress which is a main page,  integrated with Jooma which act as a back end content management system. There are 2-3 other php modules that"
153,Build me an mobile app and web and kiosk app,"$3 / hr
                                (Avg Bid)","Hi can you please text [Removed by Freelancer.com] so that we can discuss our project details in depth. we are in need of a fitness app which works on android, kiosk and ios"
154,"Market Research Analysts, CHINESE LITERACY REQUIRED (China/Taiwan/HK)  -- 2","$100
                                (Avg Bid)","...data and to multi-task
Strong communication and presentation skills
Excellent knowledge of statistical packages (SPSS, SAS or similar), databases and MS Office
Search engines, web analytics and business research tools acumen
Familiarity with CRM programs
Adequate knowledge of data collection methods (polls, focus groups, surveys etc)
Working knowledge"
155,Cyber Security Professional,"$181
                                (Avg Bid)","Hi There,

I am looking for Cyber Security expert in: Web Applications Security, Penetration Testing, Software Security, Malware Removal, Digital Forensics, System Administration: Linux/Unix-like systems, MS Windows servers , Web Development: HTML, PHP, Laravel , CSS, JavaScript, CMS (WordPress, Joomla, Drupal, Shopify), NodeJS, etc. , Virtualizati"
156,Web Security/ Information Security/ Encryption/Decryption related Project,"$42 / hr
                                (Avg Bid)","I need to hire an expert who has a sound knowledge of Computer Science, Java, Software Engineering, JSON and web security. 


If you have a Masters in Computer Science of relevant field it would be appreciated. The job is an academic task and needs someone who has a few publications or has at least an idea of Harvard Referencing styles."
157,Need a web developer who have knowledge about smm panel,"$20
                                (Avg Bid)",Need a web developer who have knowledge about smm panel for fixing bugs
158,Scrape Blockchain Data and Build API for it,"$51 / hr
                                (Avg Bid)","...API.

But but your first task will be to build out a backend system (database + API) to feed our frontend.
We have three sources to inject data in our backend system:

#1 Web Scraping (API will be written - current development)
#2 Graph API (API already finnished - you can use it)
#3 Manual Data Entry (Here we need a simply CMS for entering missing data)"
159,spreadsheet/ web app,"$7 / hr
                                (Avg Bid)","coder needs , skilled in google app script, need assistance for work"
160,"write unit test for my py files ,test functionalities for a web based application","$11 / hr
                                (Avg Bid)",I want to write unittest for the functionalities for a web app developed using the flask framework and sqlite db
161,i need a web developer,"$325
                                (Avg Bid)","we are manufactures of acetylene and oxygen gas plants and rank for our acetylene plants, however we need to improve our web presence even more, [login to view URL]"
162,web desiner,"$320 / hr
                                (Avg Bid)",I need an Android app. I would like it designed and built.
163,I need a Web Developer to build a website for an upcoming fintech firm,"$13 / hr
                                (Avg Bid)",We are looking for a developer to build our online portal. They would have to work with our design team and code the design ideas over HTML/CSS/PHP as required.
164,Build a website for a financial advisor,"$541
                                (Avg Bid)","About us:

Financial advisor company

What we're looking for:

An experienced web developer to create a responsive website for the company, with (i) multiple static content pages (home page, about us, philosophy, contact us, etc.), a blog-type page where we can post regular updates to people (who will be able to subscribe to receive new post notifications"
165,"want to write unit test for my py files  ,test functionalities for a web based application","$166
                                (Avg Bid)",I want to write unittest for the functionalities for a web app developed using the flask framework and sqlite db.
166,Build me facility management website -- 2,"$118
                                (Avg Bid)","I'm looking to create a facility management website such as:
[login to view URL]
[login to view URL]
[login to view URL]
[login to view URL]
[login to view URL]"
167,Need django python web programmer,"$6 / hr
                                (Avg Bid)","Looking for django web expert

Need to reconfigure paypal integration

Need to also change theme

Please leave your bid

Looking to start now"
168,I need a web scraper,"$2 / hr
                                (Avg Bid)",I need you to fill in a spreadsheet with data.
169,Logo design web design,"$7 / hr
                                (Avg Bid)",Website logo design. Logo degin and website
170,Talented scriptwriters wanted for long term mission-based web video series,"$3600
                                (Avg Bid)","We are two veteran film and video producers, who have produced over 3000 videos in our award-winning careers, and now have created a disruptive and innovative new business. 
We are looking for script writers who will provide us the content for the 300 + videos we’ll be producing in the next 12 months.  We are producing weekly videos in specific verticals (home-schooling, business, marketing..."
171,Content Writer,"$6 / hr
                                (Avg Bid)","...showcases our products and services, boosts brand awareness and customer engagement, and elevates our voice in the ecommerce space. The Content Writer will write thoughtful copy for web, email, and social media to help grow our online community, research and author white papers, case studies, blogs, and newsletters, and collaborate closely with our team to produce"
172,Zoho CRM Scripts and Zoho Analytics Dashboard,"$50 / hr
                                (Avg Bid)","...Engine} 
Get data from visit record and put in contact that is related to the visit record for the above plus lead source, If first page url has a utm tag, it is Web Paid, otherwise the contact is Web Organic.
 Next get all contacts related to account and compare “Actual First Visit Time” between all contact record, the contact record with the oldest “Actual"
173,Looking for an experienced web developer to help build out Builder template Library,"$22 / hr
                                (Avg Bid)","...digital experiences visually. No coding is required. We want everyone to be Builders!

An experienced web developer to help build out our Builder template library and help with client projects. The majority of the work will be in the [login to view URL] web editor, with some custom CSS and JavaScript.

To complete all the deliverables, the right developer will"
174,Crypto Exchange,"$1431
                                (Avg Bid)",I need to create a crypto exchange web based and for different cryptos.
175,Testing functionalities for a web based application,"$123
                                (Avg Bid)",I want to write unittest for the functionalities for a web app developed using the flask framework and sqlite db.
176,web banner+ social media and table tent frame design,"$75
                                (Avg Bid)",web banner + social Media+ Table Tents frame for our future posts and ads all must have the same concept we already have a logo and little background design which been used in the design of our products table tent must have space for product pictures + text + our logo + host logo web banner and social frame must contain our logo and background these
177,Private project or contest #30079110,,Please Sign Up or Login to see details.
178,web&mobile design,"$467
                                (Avg Bid)",I have a very complicated project. I need some assistance in building a website that acts as a calculator for a complicated video game I play. To explain what I am looking for in game we use an API (I have both github files) that tells us what is happening in real time on the map. [login to view URL] I want to be able to use a version of this website created by the developers (and we have permissi...
179,Fix some bugs -- 2,"$216
                                (Avg Bid)","I need a web scraping expert who understands Chrome extension code.
There is a Chrome extension for web scraping.
Proxy and captcha APIs have already been implemented.
The app worked fine for the first few months.
Now you need to solve a problem. (Cloudflare)
It should be done quickly.
Thank you"
180,Full Time In-House Web Developer,"$1123
                                (Avg Bid)","We are looking for a Full Time Remote Web Developer who can work during the hours of 7AM-4PM Pacific Standard Time. 
Must be an expert in Wordpress / Elementor and be available to our team 5 days a week. If interested, you are invited to fill out this Online Test.
[login to view URL]"
181,"A social distancing detector using a Tensorflow object detection model, ReactJS and OpenCV.","$20
                                (Avg Bid)","Develop a web program capable of detecting humans and measuring the distance between them. If they are less than 2 meters between them, they should show it as a red rectangle. If not, show them with a green rectangle.

Exactly as shown in this link but replacing Python with ReacJS.
[login to view URL]"
182,SEO Optimization and Web Presence,"$125
                                (Avg Bid)","Looking increase our ""rank"" and presence online.  We are in the self storage business with multiple locations in Georgia and want to increase our search rankings for all areas.

This will be an ongoing project.  I will pay a fixed fee each month with the expectation of increasing our rank through Key Word / SEO Optimization.

1.  Self Storage Cleveland GA
2.  Self Storage Helen GA
3.  Se..."
183,web advertiser,"$171
                                (Avg Bid)",Hi I'm looking for a marketing to advertise my website ppc management
184,Web SIte Maps ( https://hotspotrf.com/),"$159
                                (Avg Bid)","I would like to make a simple site similar to [login to view URL] Utility (free [login to view URL])

A single active subscription for life costs 5 euros.
Two possible research
1) see the range of your antenna
2) insert a point visible to all where you want to install the antenna."
185,"End of a web project in Laravel, Mysql and Front-end in HTMl/CSS","$529
                                (Avg Bid)","Hello to all,

We need a developer to finish the development of our CRM tool

Taks:
- Code study & cleaning
- Addition of minor functionality or fix
- Deployment in production

The tool is a commercial campaign management tool to track all new social network influencer campaigns.
It is mainly a data visualization tool.
There is also a connection with docusign to issue and sign contracts and in..."
186,Instagram Scraping,"$234
                                (Avg Bid)",I need a professional scraper who can create a script to scrape certain information from account in Instagram. There are total 1M account to be scraped
187,Flutter Job Platform // Smartphone App + Web App (Flutter Engage),"$2281
                                (Avg Bid)","Dear Devevlopers,

I'm looking for an experienced Flutter developer (Also Flutter Engage), who can develop a job platform including mobile app for ios & android, such as an web app and small aministration panel.

You can find the exact requerement (Documentation) + the UX Design in this Google Drive folder:
[login to view URL]"
188,Build a scraping robot,"$453
                                (Avg Bid)","I need to scrap data (email, phone number,name) through our related account and hashtags from instagram"
189,EliMeteo Web Site and App,"$1102
                                (Avg Bid)","HI, I search for made a web site only for registered users for look private meteo station with webcam. Second, an App for IOS and Android too....."
190,Product Data Scrape,"$35
                                (Avg Bid)","The project relates to products required for e-commerce site. 

Someone with scraping skills is required to extract product images, content and £ prices from a particular website.

A given category will be provided from the selected website for scraping and formatted.

Once the scrape is completed it is required to be in a format which is to be uploaded"
191,FB Ads library scraping,"$1320
                                (Avg Bid)","Task description:
Create a system to obtain ads from the ad library, the ads should be parsed for a specific
schema
The parsed ads would be sent as json to one of our endpoints
The system should be easy to scale
Coding language should be either Python or Javascript"
192,Information Scraping,"$19
                                (Avg Bid)","I need a list of 100 companies placed into excel in the following areas:

Ad Agencies
PR Agencies
Digital Agencies
Design Agencies

Companies must be based in Colorado

I need the information to include:

Company Name
City
Marketing contact name
Phone Number
Email Address

Looking for someone with access to ZoomInfo to ensure the project is done properly."
193,Creador de Pagina Web,"$6 / hr
                                (Avg Bid)",Soy creador de pagina web para pequeñas y mediana empresa.
194,web scrapping,"$45
                                (Avg Bid)",scrapping an indian information website. if any one intrested ping me and work perion 1 weak maximun.
195,Need a Full Stack Developer for web app with admin panel + user panel.,"$338
                                (Avg Bid)","Full Stack Development of web app with admin panel + user panel.
The web app is ready need some bug fixes and make the platform more stable and prevent it from crashing
Make the ui better.
It should easily handle upto 1000 members
Fix a small validation issue of webapp in mac.
Need to integrate payment gateway & auto termination of service.
Send automatic"
196,Build a Web dashboard in React Js,"$20 / hr
                                (Avg Bid)","Hello, We are building a Web dashboard using reactJs and nodeJs. It's around 2-3 months end to end project. We need an experienced front end developer who has minimum 3 years on HANDS ON exclusive React coding experience. We need someone at a senior position who has created dashboards using React before and who could entirely own the front end of our"
197,Web Developer,"$90
                                (Avg Bid)","A web site with registration. 
Related to post books details. 
Purchaser and seller both can post their details."
198,Scrapping- Read data from Txt file- insert them in some web application - Get result data into Excel file  -- 2,"$151
                                (Avg Bid)","In put will be a Text file 
Output will be an Excel file 
Execution: 
1- Read data (sequences) from the Text file file using specific separator ""<""
2- Post data in 5 web applications 
3- Get result data and past them in to an Excel file 
    (As a result will be an excel of 6 column (Sequence| App1| App2| App3| App4| App5)
4- Code source of the Python"
199,Build web platform frontend and backend  - React,"$19 / hr
                                (Avg Bid)",Build web platform front and back using react and java/python.
200,Build An Android TRading Application with Web Admin Login,"$2409
                                (Avg Bid)","I need an Android Trading Application with the following requirements:

1. User Login
2. Confirmation email to verify user account
3. Request token, whenever a user login
4. Deposit page
5. withdrawal funds page
6. balance page (editable by admin)
7. Invest Page (with a following chart)
8. Same chart can also be applicable on the home page
9. Account Balance page, should be editable by the Admin"
201,Re-design web health platform,"$209
                                (Avg Bid)","We need a new design for our webplatform. (Check the images attaches, will be the layouts to modify)"
202,Ludo and 1 to 100 no game(matka) With admin panel payment gateway web app,"$291
                                (Avg Bid)","1. Ludo main 2, 4 or 6 person game main participate kar paye.
2. Ludo game main 20 percent app owner or baki payment winner ko mile.
3. Winner ko fast payment mil jaye
4. Jab tak hamare pass user base jyada na ho tab tak software game khele lekin jo person game
khel raha hai usye ye pata na lage ki mere sath computer game khel raha hai.
5. Jab koi person 2 room main participate karna chahta hai to..."
203,Creacion pag web,"$540
                                (Avg Bid)",Empresa de Arquitectura y diseño interiores
204,Production Sheet,"$102
                                (Avg Bid)","We need to convert excel based file to web based program due to certain limitation in excel and to have easy to use user interface. 

In 2nd stage we can plan for production planning options.

Attached is basic excel file for reference."
205,FREE RADIUS WEB INTERFACE,"$1511
                                (Avg Bid)","WE PLAN TO INVEST IN DEVELOPMENT OF RADIUS SERVER FOR DIALUP AND PPPOE 
WEB GUI IS NEEDED WITH ADVANCED SKILLS , RADIUS WILL INCLUDE CUSTOMER GRAPHS , AND INVOICES AND MANY RELATED ACCOUNTING FEATURES"
206,Need help with web proxy implementation in JAVA,"$15
                                (Avg Bid)",The program needs to listen to a web browser for requests and send the necessary webpage back. More details will be provided in chat
207,Flashscore scraping,"$31
                                (Avg Bid)",I need to scrap some selected data from Flashscore and have it on excel file.
208,create 2 web form as one and massage direct to web mail.,"$41
                                (Avg Bid)",i got 2 web forms in the site need to create as one and massage direct to web mail and install recaptcha.
209,Image similarity crawling on the web,"$45 / hr
                                (Avg Bid)","We need a specialst that run an AI tool on a databse of images to find similarities and common features, and after that, run a crawling of images on the web that are similar to those in our database, given certain boundaries. 
Tools to use may be: DeepAI; Google Vision AI; Ximilarity."
210,Technical seo for news web site,"$45 / hr
                                (Avg Bid)","Starting from the analysis of the data of our site, of tools such as Ryte and those of search console, we request improvement interventions for our editorial site. It is a preferential requirement to have had experience with editorial and news sites in the past."
211,"COMPUTER KNOWLEDGE FOR WORD,EXCEL,MICROSOFT,CANVA,WEB","$16
                                (Avg Bid)","COMPUTER KNOWLEDGE FOR WORD,EXCEL,MICROSOFT,CANVA,WEB"
212,Flask Web UI + orchestrator + ansible integration + yaml data source,"$24 / hr
                                (Avg Bid)","Hi guys

 I'm looking at building a Flask page that will act as a front end UI and will use a yaml file as a data source to populate say a drop down menu of tasks and depending on the task you select you will populate a bunch of variables that will be sent to an orchestrator (like jenkins/teamcity) or to ansible to run the task/job. 

The flask page doesn't need to be pretty with a lot o..."
213,Config my Web Game Code with Node.js Mysql ActiveMQ,"$197
                                (Avg Bid)","Hello,
 I have code had been run with node.js mysql and activemq. I need config code running on my VPS Windows. I had been setup and install at my VPS all thing but it seem frontend not working admincp was worked. See at [login to view URL] Thank you"
214,"Ethic Hacker, web security expert",$3000 - $5000,Im looking a person who can acces to my account in a web page with my credentials and check my status to get dogecoins from there to my other account
215,full time ui designer web (work from home),"$359
                                (Avg Bid)","I am finding a full time employee. 

So please apply accordingly. I am finding an experienced designer with capabilities of creating awesome and out of the box designs for website.

If you have expertise in html then it would be advantage. 

Selection of candidate will be based on a design that we will ask you to create. 

Good luck!"
216,Página web de noticias  -- 2,"$526
                                (Avg Bid)","Buenas, requiero una página web de noticias similares al de ([login to view URL];  [login to view URL]).

1. Suscripción mensual para lectura de noticias
2. Lectura gratis pero con publicidad.
3. La web tenga (Accelerated Mobile Pages) para smarphone.
4. API 
5. Cookies
6. Live web


- No CMS, No Framework, No Wordpress, No templades, No Webflow"
217,Build me a website,"$207
                                (Avg Bid)",I need an E-commerce platform for my brand. Need experienced Web designers
218,web scraping,"$157
                                (Avg Bid)",I am looking senior web scraper
219,"Need curriculum written, process n procedure, contacts and NR, Web site for a school level login n Animation to show what it could be like.","$125
                                (Avg Bid)",Would like to set up a rec center for profit n non profit for all sports and arts. With a after school program.
220,Web Design,"$547
                                (Avg Bid)",I need you to build my personal website.
221,App de Delivery,"$1231
                                (Avg Bid)","Preciso de um aplicativo no estilo ifood, rappi, aiqfome. Painel do cliente devera ser web e app compativel com android e ios. Toda a arte sera fornecida por nós."
222,Hiring Web developers for our team Now  -- 2,"$10 / hr
                                (Avg Bid)","Hello there!
We are building out a small team. We're looking for web-developers with experience with different javascript-related tools and libraries.

Requirements:
experience with :
-nodejs, lambda, DynamoDb.
Or
-JS, Reactjs, MobX.

-Analyze requirements and develop proper solutions for successful implementation.
-Writing clean, readable, and testable"
223,web traffic,"$3000
                                (Avg Bid)","i need web traffic, i need a digital marketer to help me out with this website traffic,only expert should inbox me"
224,Hiring Web developers for our team Now,"$11 / hr
                                (Avg Bid)","Hello there!
We are building out a small team. We're looking for web-developers with experience with different javascript-related tools and libraries.

Requirements:
experience with :
-nodejs, lambda, DynamoDb.
Or
-JS, Reactjs, MobX.

-Analyze requirements and develop proper solutions for successful implementation.
-Writing clean, readable, and testable"
225,Create a company logo,"$50
                                (Avg Bid)","...wordmark, and lettermark that incorporates our name, ""Darkblue"" or ""Darkblue, LLC,"" and our two main letters, ""DB."" The design should work on a variety of platforms, including RGB web media, CMYK and grayscale print media, spot color products, and more. Ideally, designs provided work on light and dark backgrounds.

The design should be distinguished and diss..."
226,Programador web para wordpress,"$177
                                (Avg Bid)","...desarrollo personal y buscamos lanzar una nueva pagina web.

El trabajo consiste en cambiar nuestra web clasica de wordpress con learndash y buddyboss a una mas atractiva visualmente para vender cursos con pasarela de pagos automatizado. Ya tenemos el dominio y hosting.

El nuevo menú de nuestra web será de estas caracteristicas, nosotros te damos el texto"
227,Build my online store ( web site IOS  Android ),"$4934
                                (Avg Bid)","Build and develop Food delivery App like Uber eats and Lieferando includes :
1- Web application .
2- IOS application .
3- Android Application ."
228,Web chatt solution,"$43 / hr
                                (Avg Bid)","We want a chatt solution. that handles our off hock calls that our chat bot can not answer. In that case. We will be online. We get a webhook in that case, and want to bring live agents online for our customers."
229,Bicycle Layaway System - Local Web App,"$152
                                (Avg Bid)","I need a local Web Interface for the managment of a database of a Bicycle Layaway System, it should include:
- Interface to add new customer information Create / Update / Delete (Name, Phone, Address, Photo)
- Interface to manage the Product Inventory (Description, Size, Color, Brand, Model, Price)
- Interface to create / Delete / Update the initial"
230,Web designs needed (wireframes available),"$173
                                (Avg Bid)","Hi, I am posting a project on behalf of my client who is looking for the creation of designs based on wireframes he has already created. There are two sample screens available.
The remaining wireframes need to be converted in to designs.
Outputs provided MUST be in PSD format for easy conversion to website theme.

This is a tech co pilot managed project."
231,Google Maps Scraping,"$98
                                (Avg Bid)","i have a keyword and location need to search in google maps and scrap business name, address, phone, website and email
email need to scrap from website inside, if you can scrap then bid in this project."
232,Prepare a Step by Step Guide for Making a Complex Mobile & Web App,"$29 / hr
                                (Avg Bid)","I'm planning to make a complex app for mobile & web. I am looking for a person extremely experienced with with:

1. All steps of SDLC
2. All approaches of SDLC
3. SQL & NoSQL Databases
4. Client & Server Side Scripting Languages
5. A Strong Sense of App Designing
6. Software Documentation
7. Launching App Based Startups
8. Software Architecture

Who"
233,"Web design wordpress elementor fix responsive, blog and design 5 pages","$32 / hr
                                (Avg Bid)","Hello WordPress devs. I am looking to improve my websites design, seo structure, mobile responsiveness. I currently use elementor. I am looking for at least five key pages to be built where I can enter in the content. I have no problems with this as I have used WordPress and elementor for years. I just want an expert to make this look amazing for a startup launch.

- Would need at least five pages..."
234,Python 3 Scraping Expert,"$1097
                                (Avg Bid)","I am looking for a long term collaboration with web scraping expert who can write clean and ethical codes in Python 3. Please avoid spam bids and just tell me your weekly availability, experience with web scraping and if you are willing to engage on a long term contract"
235,I need Some Logo Done for my Web,"$67
                                (Avg Bid)","So, I need Some Logo Done for my Web. They Must be Pro level work."
236,integrate a shopping cart on a laravel app web and mobile,"$632
                                (Avg Bid)","Need to integrate a shopping cart into a laravel app
Need to integrate a livestream component into a laravel app"
237,Web site development,"$212
                                (Avg Bid)",we want website to similar [login to view URL]
238,A developer needed web creative and logical mind -- 2,"$87
                                (Avg Bid)","Contect writer , web hosting & handling"
239,Accounting Software/Web Page,"$585
                                (Avg Bid)","I need an accounting software, you know, everything that companies have to calculate and keep track, accounts receivable, accounts payable, inventory control, balance sheets, item production, payroll. I know how to do it, in quotes, but they gave me only a week to do it and I must learn some framework like [login to view URL] to do it right, since I want it to have graphics and all that stuff.

Ap..."
240,Looking for a web designer,"$582
                                (Avg Bid)","I need a website building as soon as possible. It's a simple site, 5 pages, contact form. It needs fresh appealing images and well written content."
241,Salesforce Lightning Web Component Mentor & Pair Programming,"$19 / hr
                                (Avg Bid)",Need someone with good experience and strong knowledge of LWC development to help build a few components and teach me the basics and best practices of the Salesforce Lightning Web Component framework.
242,Bulid a small web project using Angular,"$100
                                (Avg Bid)","Required a developer who is familiar with HTML,CSS and angular"
243,Website data scraping to Excel365,"$227
                                (Avg Bid)","Dear Coder,
I need a website scraping tool, done with Excel VBA or Power BI, that collects data from 53 different sports sites.
A description of the job is enclosed.
The budget advised is a placeholder. Please read the description and and advice your best bid.
Good luck with your bidding.
Thank you
Thomas"
244,Logo with Web design,"$20 / hr
                                (Avg Bid)",Looking for a logo and website for a  Porno graphic web cam site looking to be a little like a cartoon website is called [login to view URL] so need it to fit the name of the website.
245,Building a web cam site,"$24 / hr
                                (Avg Bid)","We are looking to build a web streaming service for people to experience a more one on one with people and there fan base. [login to view URL] is a reference of what we are kind of looking for as a base start off. We will be adding other features later. But if we could have the bases of the website. Taking payments ,able to have a user screen, a free screen"
246,Osint service -- 2,"$225
                                (Avg Bid)","Need someone who is experienced in Osint, Doxing. Experience with :
Maltego, Social Links, Social engineering, Digital forensics, SOCMINT, Social media research, Web scraping,
Email extraction, Doxing, Online investigations, Recon-ng, Spiderfoot, Buscador, Python, ...
Feel free to contact me"
247,Inventory management software,"$53
                                (Avg Bid)",Need a basic web based inventory management software. Need very basic features now and will add more later.
248,Need help with coding web proxy in JAVA,"$14
                                (Avg Bid)","I need some help with coding a simple web proxy in java that can get user requests from the web browser, modify the requested website and return the modified page to the browser."
249,"Want a Web Admin Panel, Customer App & Delivey Boy App in Android & iOS Same Like Lalamove","$2809
                                (Avg Bid)","Hello,

I want a Web Admin Panel, Customer App & Delivey Boy App in Android & iOS Same Like Lalamove. And also customer can book from website.

Please find attached zip file for app screen shots and flow of the application."
